Day,Altitude
284.0046296296296,391.5692781732855
285.0,391.53614157683774
286.00694444444446,391.5025899338806
287.00231481481484,391.4693944944516
288.00925925925924,391.4357832185356
289.0046296296296,391.40252872676587
290.0,391.36924480124844
291.00694444444446,391.33554385096113
292.00231481481484,391.30220055758394
293.00925925925924,391.26843944194167
294.0046296296296,391.2350365685513
295.0,391.20160399803706
296.00694444444446,391.16775240562765
297.00231481481484,391.1342599353418
298.00925925925924,391.10034763802867
299.0046296296296,391.06679505293164
300.0,391.033212503803
301.00694444444446,390.99920891651044
302.00231481481484,390.9655659284946
303.00925925925924,390.9315010894565
304.0046296296296,390.89779744461646
305.0,390.8640635652114
306.00694444444446,390.8299066119734
307.00231481481484,390.79611174726205
308.00925925925924,390.7618929880066
309.0046296296296,390.7280369170858
310.0,390.69415033738596
311.00694444444446,390.6598386285063
312.00231481481484,390.6258905096399
313.00925925925924,390.5915164329121
314.0046296296296,390.5575065509584
315.0,390.523465882265
316.00694444444446,390.4889980090568
317.00231481481484,390.45489523975647
318.00925925925924,390.42036442918146
319.0046296296296,390.3861993322708
320.0,390.3520031668516
321.00694444444446,390.31737770131787
322.00231481481484,390.2831188661214
323.00925925925924,390.2484298858624
324.0046296296296,390.2141081507765
325.0,390.17975506151373
326.00694444444446,390.14497055598537
327.00231481481484,390.11055421993416
328.00925925925924,390.07570561433954
329.0046296296296,390.0412257981869
330.0,390.00671433823464
331.00694444444446,389.97176932498536
332.00231481481484,389.9371940332176
333.00925925925924,389.9021843264345
334.0046296296296,389.86754496628976
335.0,389.83287366869394
336.00694444444446,389.7977666595988
337.00231481481484,389.7630309370039
338.00925925925924,389.7278586326279
339.0046296296296,389.6930582451746
340.0,389.658225622504
341.00694444444446,389.62295510864817
342.00231481481484,389.5880574594941
343.00925925925924,389.5527210401669
344.0046296296296,389.517758121293
345.0,389.4827626652541
346.00694444444446,389.4473271165332
347.00231481481484,389.4122660240671
348.00925925925924,389.37676395110225
349.0046296296296,389.34163697552776
350.0,389.30647715659813
351.00694444444446,389.2708750213301
352.00231481481484,389.2356489473861
353.00925925925924,389.1999796603462
354.0046296296296,389.16468708122335
355.0,389.1293613481922
356.00694444444446,389.09359105272216
357.00231481481484,389.05819843732286
358.00925925925924,389.02236035362256
359.0046296296296,388.9869006021228
360.0,388.95140738173666
361.00694444444446,388.91546732998734
362.00231481481484,388.87990659092554
363.00925925925924,388.84389810539875
364.0046296296296,388.8082695902912
365.0,388.7726072868146
366.00694444444446,388.73649585988466
367.00231481481484,388.7007653922895
368.00925925925924,388.66458487677204
